"Konto";"DE00000000000000000000"
"Zeitraum:";"03.01.2025 - 30.06.26"
"Kontostand vom 30.06.26";"1234,56"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"12.02.25";"12.02.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-27,55";"";"";""
"14.02.25";"14.02.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"20.03.25";"20.03.25";"Gebucht";"";"";"Gehalt März 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"05.03.25";"05.03.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"19.03.25";"19.03.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,5";"";"";""
"22.03.25";"22.03.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-26,1";"";"";""
"08.03.25";"08.03.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-112,4";"";"";""
"21.03.25";"21.03.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-49,7";"";"";""
"14.03.25";"14.03.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-58,9";"";"";""
"02.03.25";"02.03.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-71,4";"";"";""
"27.03.25";"27.03.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-29,5";"";"";""
"09.03.25";"09.03.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-22,1";"";"";""
"18.03.25";"18.03.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-115,0";"";"";""
"25.03.25";"25.03.25";"Gebucht";"";"Mediamarkt";"Elektronik";"Lastschrift";"DE00000000000000000000";"-220,0";"";"";""
"15.04.25";"15.04.25";"Gebucht";"";"";"Gehalt April 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"03.04.25";"03.04.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-510,0";"";"";""
"11.04.25";"11.04.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-14,2";"";"";""
"20.04.25";"20.04.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"07.04.25";"07.04.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-44,6";"";"";""
"23.04.25";"23.04.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-61,3";"";"";""
"17.04.25";"17.04.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-25,1";"";"";""
"09.04.25";"09.04.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-63,8";"";"";""
"26.04.25";"26.04.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-77,4";"";"";""
"04.04.25";"04.04.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-31,0";"";"";""
"22.04.25";"22.04.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"10.05.25";"10.05.25";"Gebucht";"";"";"Gehalt Mai 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"02.05.25";"02.05.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"16.05.25";"16.05.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"25.05.25";"25.05.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-28,3";"";"";""
"12.05.25";"12.05.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-52,4";"";"";""
"28.05.25";"28.05.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-48,9";"";"";""
"06.05.25";"06.05.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-22,5";"";"";""
"19.05.25";"19.05.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-69,0";"";"";""
"08.05.25";"08.05.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-33,6";"";"";""
"21.05.25";"21.05.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-78,5";"";"";""
"14.05.25";"14.05.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"27.05.25";"27.05.25";"Gebucht";"";"Optiker Sehen AG";"Brille";"Lastschrift";"DE00000000000000000000";"-160,0";"";"";""
"08.06.25";"08.06.25";"Gebucht";"";"";"Gehalt Juni 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"01.06.25";"01.06.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"14.06.25";"14.06.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-15,4";"";"";""
"22.06.25";"22.06.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"05.06.25";"05.06.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-59,2";"";"";""
"20.06.25";"20.06.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-53,7";"";"";""
"11.06.25";"11.06.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-61,8";"";"";""
"03.06.25";"03.06.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-74,5";"";"";""
"17.06.25";"17.06.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-38,9";"";"";""
"25.06.25";"25.06.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-88,4";"";"";""
"09.06.25";"09.06.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"12.07.25";"12.07.25";"Gebucht";"";"";"Gehalt Juli 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"04.07.25";"04.07.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"18.07.25";"18.07.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"26.07.25";"26.07.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"09.07.25";"09.07.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-47,8";"";"";""
"23.07.25";"23.07.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-55,1";"";"";""
"15.07.25";"15.07.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-29,3";"";"";""
"07.07.25";"07.07.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-80,2";"";"";""
"19.07.25";"19.07.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-31,4";"";"";""
"02.07.25";"02.07.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-134,6";"";"";""
"27.07.25";"27.07.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"21.07.25";"21.07.25";"Gebucht";"";"Fluggesellschaft AG";"Flug Urlaub";"Lastschrift";"DE00000000000000000000";"-310,0";"";"";""
"05.08.25";"05.08.25";"Gebucht";"";"";"Gehalt August 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"14.08.25";"14.08.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"22.08.25";"22.08.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"07.08.25";"07.08.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"17.08.25";"17.08.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-61,3";"";"";""
"03.08.25";"03.08.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-44,7";"";"";""
"25.08.25";"25.08.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-55,9";"";"";""
"11.08.25";"11.08.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-66,4";"";"";""
"20.08.25";"20.08.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-28,1";"";"";""
"08.08.25";"08.08.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-95,7";"";"";""
"28.08.25";"28.08.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"16.09.25";"16.09.25";"Gebucht";"";"";"Gehalt September 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"02.09.25";"02.09.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"10.09.25";"10.09.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-14,8";"";"";""
"24.09.25";"24.09.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"06.09.25";"06.09.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-50,2";"";"";""
"19.09.25";"19.09.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-43,8";"";"";""
"13.09.25";"13.09.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-26,6";"";"";""
"27.09.25";"27.09.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-59,3";"";"";""
"04.09.25";"04.09.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-34,9";"";"";""
"21.09.25";"21.09.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-24,1";"";"";""
"08.09.25";"08.09.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-120,0";"";"";""
"29.09.25";"29.09.25";"Gebucht";"";"Reparatur Service";"Werkstatt";"Lastschrift";"DE00000000000000000000";"-250,0";"";"";""
"11.10.25";"11.10.25";"Gebucht";"";"";"Gehalt Oktober 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"05.10.25";"05.10.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"19.10.25";"19.10.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"28.10.25";"28.10.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"14.10.25";"14.10.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-58,6";"";"";""
"02.10.25";"02.10.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-45,3";"";"";""
"22.10.25";"22.10.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-30,4";"";"";""
"09.10.25";"09.10.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-73,1";"";"";""
"25.10.25";"25.10.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-85,6";"";"";""
"07.10.25";"07.10.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-28,9";"";"";""
"16.10.25";"16.10.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"09.11.25";"09.11.25";"Gebucht";"";"";"Gehalt November 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"01.11.25";"01.11.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"15.11.25";"15.11.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"24.11.25";"24.11.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"08.11.25";"08.11.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-52,1";"";"";""
"22.11.25";"22.11.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-47,9";"";"";""
"13.11.25";"13.11.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-24,8";"";"";""
"05.11.25";"05.11.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-61,5";"";"";""
"19.11.25";"19.11.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-119,4";"";"";""
"27.11.25";"27.11.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-22,7";"";"";""
"10.11.25";"10.11.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"26.11.25";"26.11.25";"Gebucht";"";"Online Shop XY";"Bestellung";"Lastschrift";"DE00000000000000000000";"-140,0";"";"";""
"14.12.25";"14.12.25";"Gebucht";"";"";"Gehalt Dezember 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"03.12.25";"03.12.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"17.12.25";"17.12.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"26.12.25";"26.12.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"11.12.25";"11.12.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-67,4";"";"";""
"24.12.25";"24.12.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-82,1";"";"";""
"07.12.25";"07.12.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-63,2";"";"";""
"19.12.25";"19.12.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-68,9";"";"";""
"28.12.25";"28.12.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-143,7";"";"";""
"05.12.25";"05.12.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-112,3";"";"";""
"22.12.25";"22.12.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-50,0";"";"";""
"29.12.25";"29.12.25";"Gebucht";"";"Konzert Tickets";"Veranstaltung";"Lastschrift";"DE00000000000000000000";"-95,0";"";"";""
"10.01.26";"10.01.26";"Gebucht";"";"";"Gehalt Januar 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"02.01.26";"02.01.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"16.01.26";"16.01.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"25.01.26";"25.01.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"08.01.26";"08.01.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-53,8";"";"";""
"21.01.26";"21.01.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-46,2";"";"";""
"14.01.26";"14.01.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-27,1";"";"";""
"06.01.26";"06.01.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-65,0";"";"";""
"19.01.26";"19.01.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-32,4";"";"";""
"27.01.26";"27.01.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-26,5";"";"";""
"11.01.26";"11.01.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"23.01.26";"23.01.26";"Gebucht";"";"Zahnarzt Mustermann";"Behandlung";"Lastschrift";"DE00000000000000000000";"-195,0";"";"";""
"12.02.26";"12.02.26";"Gebucht";"";"";"Gehalt Februar 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"04.02.26";"04.02.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"18.02.26";"18.02.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"27.02.26";"27.02.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"10.02.26";"10.02.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-48,7";"";"";""
"23.02.26";"23.02.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-57,3";"";"";""
"16.02.26";"16.02.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-31,8";"";"";""
"18.02.26";"18.02.26";"Gebucht";"";"CustomCompanyA";"Custom Expense";"Lastschrift";"DE00000000000000000000";"-200,2";"";"";""
"07.02.26";"07.02.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-58,6";"";"";""
"20.02.26";"20.02.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-29,9";"";"";""
"03.02.26";"03.02.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-23,4";"";"";""
"14.02.26";"14.02.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"09.03.26";"09.03.26";"Gebucht";"";"";"Gehalt März 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"01.03.26";"01.03.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"15.03.26";"15.03.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-15,9";"";"";""
"24.03.26";"24.03.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"07.03.26";"07.03.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-60,4";"";"";""
"20.03.26";"20.03.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-44,1";"";"";""
"12.03.26";"12.03.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-23,5";"";"";""
"04.03.26";"04.03.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-77,3";"";"";""
"18.03.26";"18.03.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-93,6";"";"";""
"26.03.26";"26.03.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-25,8";"";"";""
"10.03.26";"10.03.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"22.03.26";"22.03.26";"Gebucht";"";"Mediamarkt";"Elektronik";"Lastschrift";"DE00000000000000000000";"-189,0";"";"";""
"08.04.26";"08.04.26";"Gebucht";"";"";"Gehalt April 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"02.04.26";"02.04.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"16.04.26";"16.04.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"25.04.26";"25.04.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"11.04.26";"11.04.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-51,6";"";"";""
"24.04.26";"24.04.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-43,9";"";"";""
"05.04.26";"05.04.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-70,4";"";"";""
"18.04.26";"18.04.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-62,8";"";"";""
"27.04.26";"27.04.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-36,7";"";"";""
"28.04.26";"28.04.26";"Gebucht";"";"CustomCompanyA";"Custom Expense";"Lastschrift";"DE00000000000000000000";"-5,2";"";"";""
"09.04.26";"09.04.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-29,1";"";"";""
"20.04.26";"20.04.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"14.05.26";"14.05.26";"Gebucht";"";"";"Gehalt Mai 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"04.05.26";"04.05.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"18.05.26";"18.05.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"27.05.26";"27.05.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
